product_id,product_name,category,price,cost,stock,rating
P0060,Headphones 60,Audio,3339.22,2198.87,135,4.9
P0061,Earbuds 61,Audio,6854.39,4716.56,464,3.6
P0062,Headphones 62,Audio,13325.72,8342.79,394,4.5
P0063,Headphones 63,Audio,2593.73,1721.59,282,3.1
P0064,Speakers 64,Audio,1259.95,752.78,58,3.2
P0065,Headphones 65,Audio,12462.33,8880.06,355,5.0
P0066,Earbuds 66,Audio,1846.75,1223.65,131,3.9
P0067,Headphones 67,Audio,11981.92,6711.61,358,3.3
P0068,Earbuds 68,Audio,12005.62,5737.38,371,3.5
P0069,Speakers 69,Audio,14487.63,9408.61,499,3.8
P0070,Headphones 70,Audio,9305.49,5371.75,159,4.9
P0071,Headphones 71,Audio,3529.88,2122.63,446,3.2
P0072,Laptop 72,Laptops,1907.65,900.88,144,4.4
P0073,Laptop Stand 73,Laptops,12986.45,7542.51,176,3.2
P0074,Laptop 74,Laptops,1865.26,1142.37,450,4.0
P0075,Laptop 75,Laptops,2832.68,1279.04,480,4.3
P0076,Laptop Stand 76,Laptops,13577.07,8665.23,399,3.3
P0077,Laptop 77,Laptops,3366.46,2067.47,285,4.1
P0078,Laptop Stand 78,Laptops,10252.96,4728.44,40,5.0
P0079,Laptop Bag 79,Laptops,12984.77,6902.55,433,4.6
P0080,Laptop Stand 80,Laptops,14149.31,9983.09,266,4.0
P0081,Laptop Stand 81,Laptops,7874.69,3935.58,203,3.4
P0082,Laptop 82,Laptops,12724.06,8967.34,441,4.0
P0083,Laptop Stand 83,Laptops,7600.28,3463.88,444,4.5
P0084,Laptop 84,Laptops,5077.03,2685.24,91,4.3
P0085,Laptop Bag 85,Laptops,2505.24,1876.88,210,4.5
P0086,Laptop Stand 86,Laptops,3910.45,2894.89,341,4.4
P0087,Laptop Bag 87,Laptops,2355.53,1317.03,264,4.0
P0088,Laptop Bag 88,Laptops,14886.3,8522.51,60,4.0
P0089,Laptop Stand 89,Laptops,8544.12,6103.12,141,3.2
P0090,Laptop 90,Laptops,8794.18,5839.55,358,4.3
P0091,Laptop Stand 91,Laptops,12271.16,5870.26,144,3.7
P0092,Laptop 92,Laptops,2124.12,1363.92,321,3.3
P0093,Laptop Bag 93,Laptops,7914.4,5731.62,33,4.8
P0094,Laptop 94,Laptops,14635.99,10198.68,492,4.8
P0095,Laptop Stand 95,Laptops,6725.54,4402.07,260,5.0
P0096,Laptop 96,Laptops,6372.18,4119.3,252,3.7
P0097,Laptop Stand 97,Laptops,8717.56,5964.52,367,3.6
P0098,Laptop Bag 98,Laptops,4086.81,1871.28,285,3.8
P0099,Laptop Stand 99,Laptops,13742.48,7206.2,477,3.3
P0100,Laptop Bag 100,Laptops,7910.61,4008.26,220,4.7
P0101,Laptop Bag 101,Laptops,585.38,396.25,151,3.8
P0102,Laptop 102,Laptops,12391.75,6737.98,488,3.4
P0103,Laptop Stand 103,Laptops,4001.13,2782.94,403,4.0
P0104,Laptop 104,Laptops,10350.25,5945.23,81,3.2
P0105,Laptop Stand 105,Laptops,10700.97,7778.92,186,3.0
P0106,Laptop Bag 106,Laptops,11425.91,8257.8,293,4.0
P0107,Laptop 107,Laptops,12180.8,6776.33,400,5.0
P0108,Laptop 108,Laptops,1399.81,638.81,126,4.3
P0109,Laptop Bag 109,Laptops,2419.52,1415.24,195,4.5
P0110,Laptop 110,Laptops,9884.32,5847.24,323,5.0
P0111,Laptop Bag 111,Laptops,8535.65,4725.56,99,3.6
P0112,Laptop Stand 112,Laptops,6265.12,4070.13,212,3.6
P0113,Laptop Stand 113,Laptops,5168.68,3015.91,232,3.8
P0114,Laptop Stand 114,Laptops,5273.82,3213.06,458,4.0
P0115,Laptop 115,Laptops,871.36,574.34,465,4.5
P0116,Laptop Bag 116,Laptops,7277.55,4080.33,215,4.4
P0117,Laptop 117,Laptops,6126.88,3378.51,344,3.6
P0118,Laptop Stand 118,Laptops,3368.03,2033.47,319,4.4
P0119,Laptop 119,Laptops,2343.24,1151.49,127,4.8
P0120,Laptop 120,Laptops,3481.51,2490.79,405,4.1
P0121,Laptop Bag 121,Laptops,4220.03,2596.79,177,4.0
P0122,Laptop 122,Laptops,5853.74,2988.48,217,3.1
P0123,Laptop Stand 123,Laptops,14857.46,9209.86,372,4.5
P0124,Laptop Bag 124,Laptops,578.81,334.54,172,4.6
P0125,Laptop 125,Laptops,6489.05,4068.56,414,4.6
P0126,Laptop 126,Laptops,13409.51,8407.96,311,5.0
P0127,Laptop Bag 127,Laptops,11589.84,6328.22,303,3.3
P0128,Laptop Stand 128,Laptops,9060.07,4414.43,277,4.1
P0129,Laptop 129,Laptops,7400.3,4916.8,259,3.7
P0130,Laptop 130,Laptops,14633.96,10139.36,30,3.0
P0131,Laptop Stand 131,Laptops,7905.95,4679.9,381,3.7
P0132,Laptop Bag 132,Laptops,4941.68,3438.3,303,3.0
P0133,Laptop Bag 133,Laptops,1461.45,723.73,366,3.3
P0134,Laptop Bag 134,Laptops,10631.39,7048.38,29,4.3
P0135,Laptop Stand 135,Laptops,874.14,617.54,468,4.6
P0136,Laptop Stand 136,Laptops,7985.85,4104.26,56,3.5
P0137,Laptop 137,Laptops,9243.3,6664.17,113,3.9
P0138,Laptop Stand 138,Laptops,6839.34,5093.15,292,4.9
P0139,Laptop Stand 139,Laptops,2905.29,1877.71,431,4.1
P0140,Laptop Bag 140,Laptops,11247.42,5196.25,250,3.1
P0141,Laptop Stand 141,Laptops,11137.96,8061.41,376,4.4
P0142,Laptop Bag 142,Laptops,3856.51,1793.12,433,4.6
P0143,Screen Protector 143,Mobile,10577.27,6505.21,146,3.2
P0144,Smartphone 144,Mobile,2265.87,1578.74,231,3.5
P0145,Screen Protector 145,Mobile,7388.42,5132.04,320,3.7
P0146,Screen Protector 146,Mobile,14285.7,8421.21,175,4.0
P0147,Smartphone 147,Mobile,2888.97,1698.24,330,4.1
P0148,Phone Case 148,Mobile,12909.19,9032.0,194,3.8
P0149,Screen Protector 149,Mobile,6156.76,3909.42,242,4.0
P0150,Smartphone 150,Mobile,11385.33,8435.27,323,4.5
P0151,Phone Case 151,Mobile,2276.29,1536.67,439,3.6
P0152,Phone Case 152,Mobile,5333.31,3984.64,214,4.4
P0153,Smartphone 153,Mobile,1810.34,907.42,275,3.4
P0154,Screen Protector 154,Mobile,9270.67,6389.48,70,3.8
P0155,Screen Protector 155,Mobile,12612.66,7390.73,380,3.4
P0156,Screen Protector 156,Mobile,4299.93,2507.81,84,3.8
P0157,Screen Protector 157,Mobile,7177.46,3307.32,275,3.1
P0158,Screen Protector 158,Mobile,11705.78,6315.04,134,3.8
P0159,Smartphone 159,Mobile,10724.36,4917.58,272,4.2
P0160,Smartphone 160,Mobile,8274.7,5066.74,173,3.4
P0161,Phone Case 161,Mobile,6147.6,4236.99,34,3.6
P0162,Phone Case 162,Mobile,11687.62,6496.08,381,3.7
P0163,Smartphone 163,Mobile,2598.42,1224.07,72,4.3
P0164,Smartphone 164,Mobile,6341.78,4644.47,431,4.0
P0165,Phone Case 165,Mobile,7468.42,3928.63,209,3.8
P0166,Screen Protector 166,Mobile,4242.98,2234.61,202,3.4
P0167,Smartphone 167,Mobile,6284.35,3900.1,490,3.1
P0168,Screen Protector 168,Mobile,14839.19,7930.91,192,4.0
P0169,Smartphone 169,Mobile,12922.83,6633.3,322,3.5
P0170,Screen Protector 170,Mobile,3769.01,2641.42,218,3.2
P0171,Smartphone 171,Mobile,9443.09,5685.11,167,4.5
P0172,Smartphone 172,Mobile,5556.27,2749.45,296,3.3
P0173,Phone Case 173,Mobile,10867.09,6780.46,152,4.0
P0174,Smartphone 174,Mobile,10098.8,5214.43,61,3.5
P0175,Phone Case 175,Mobile,14335.61,10388.91,259,3.3
P0176,Phone Case 176,Mobile,12598.71,6628.43,80,3.1
P0177,Smartphone 177,Mobile,7615.32,4808.95,38,3.1
P0178,Smartphone 178,Mobile,7221.1,3253.72,84,3.7
P0179,Screen Protector 179,Mobile,1138.96,798.38,433,3.9
P0180,Phone Case 180,Mobile,7448.48,4884.77,368,3.2
P0181,Screen Protector 181,Mobile,13137.96,8922.55,498,4.0
P0182,Phone Case 182,Mobile,12994.76,6305.24,291,4.9
P0183,Screen Protector 183,Mobile,13701.07,9292.82,236,4.9
P0184,Screen Protector 184,Mobile,10189.25,5325.77,394,3.6
P0185,Smartphone 185,Mobile,6490.16,3706.41,409,3.6
P0186,Smartphone 186,Mobile,8186.01,4582.67,15,3.1
P0187,Phone Case 187,Mobile,8186.33,5738.37,12,3.9
P0188,Screen Protector 188,Mobile,12340.51,7375.5,349,3.6
P0189,Phone Case 189,Mobile,14416.09,9152.6,401,4.3
P0190,Smartphone 190,Mobile,5371.05,2480.64,328,4.1
P0191,Screen Protector 191,Mobile,1690.66,1233.54,353,4.7
P0192,Smartphone 192,Mobile,5829.37,3926.07,481,4.6
P0193,Phone Case 193,Mobile,8874.62,6595.06,373,4.5
P0194,Smartphone 194,Mobile,4816.86,2951.68,88,3.9
P0195,Smartphone 195,Mobile,1622.45,837.28,384,4.5
P0196,Screen Protector 196,Mobile,14934.48,8951.35,110,3.2
P0197,Smartphone 197,Mobile,7994.62,3909.54,230,5.0
P0198,Screen Protector 198,Mobile,11006.64,5000.22,150,4.9
P0199,Smartphone 199,Mobile,7172.83,3900.1,381,3.8
P0200,Smartphone 200,Mobile,632.0,439.89,479,3.7
P0201,Smartphone 201,Mobile,1446.47,989.2,269,4.0
P0202,Smartphone 202,Mobile,1484.52,1063.79,311,4.4
P0203,Smartphone 203,Mobile,14163.62,8302.48,416,4.5
P0204,Phone Case 204,Mobile,6237.3,4488.61,470,4.5
P0205,Screen Protector 205,Mobile,5640.33,3158.18,150,4.8
P0206,Phone Case 206,Mobile,6658.94,4317.39,385,3.1
P0207,Phone Case 207,Mobile,10700.78,5116.74,68,4.4
P0208,Smartphone 208,Mobile,8509.01,5782.78,333,4.0
P0209,Smartphone 209,Mobile,3492.99,2018.59,431,4.3
P0210,Screen Protector 210,Mobile,5190.26,2401.92,247,3.3
P0211,Phone Case 211,Mobile,8915.38,4178.26,27,3.8
P0212,Phone Case 212,Mobile,14294.8,8545.41,10,4.8
P0213,Screen Protector 213,Mobile,6879.26,3215.53,64,4.5
P0214,Gaming Keyboard 214,Gaming,13696.58,6351.35,292,4.0
P0215,Controller 215,Gaming,5102.9,3046.0,71,3.4
P0216,Controller 216,Gaming,5326.61,2509.93,457,4.2
P0217,Controller 217,Gaming,1627.06,833.22,262,3.3
P0218,Gaming Mouse 218,Gaming,1123.94,663.77,394,3.7
P0219,Controller 219,Gaming,4180.67,2394.75,121,3.1
P0220,Gaming Keyboard 220,Gaming,5773.31,3299.86,65,4.6
P0221,Controller 221,Gaming,525.23,361.08,79,3.1
P0222,Controller 222,Gaming,13165.34,6181.23,172,4.3
P0223,Gaming Mouse 223,Gaming,3316.53,1781.32,111,4.5
P0224,Controller 224,Gaming,11218.39,6407.92,333,4.7
P0225,Gaming Mouse 225,Gaming,10781.66,6215.91,262,5.0
P0226,Gaming Mouse 226,Gaming,9081.62,4656.25,190,4.3
P0227,Gaming Keyboard 227,Gaming,14835.01,10103.12,67,4.4
P0228,Gaming Mouse 228,Gaming,1995.11,1403.03,103,4.6
P0229,Controller 229,Gaming,3948.41,2290.91,79,3.3
P0230,Gaming Mouse 230,Gaming,8364.74,4051.32,271,4.6
P0231,Gaming Mouse 231,Gaming,9140.02,6035.74,300,3.4
P0232,Gaming Keyboard 232,Gaming,4911.42,3252.67,288,3.8
P0233,Controller 233,Gaming,1646.51,1184.73,266,3.7
P0234,Controller 234,Gaming,12850.16,7988.64,430,3.4
P0235,Gaming Keyboard 235,Gaming,14285.65,8408.24,444,4.7
P0236,Controller 236,Gaming,11846.8,8138.31,62,3.6
P0237,Controller 237,Gaming,14872.61,8881.27,357,3.2
P0238,Controller 238,Gaming,4379.2,2621.5,447,3.1
P0239,Gaming Mouse 239,Gaming,6707.35,4866.15,317,4.4
P0240,Gaming Mouse 240,Gaming,1812.18,836.18,105,3.9
P0241,Gaming Keyboard 241,Gaming,6010.4,3361.93,81,3.9
P0242,Controller 242,Gaming,3344.79,2188.14,290,3.4
P0243,Gaming Keyboard 243,Gaming,4597.93,2707.35,290,3.8
P0244,Gaming Mouse 244,Gaming,997.03,500.63,207,3.7
P0245,Gaming Mouse 245,Gaming,4226.06,2321.45,452,3.1
P0246,Gaming Keyboard 246,Gaming,1763.49,1152.31,494,4.1
P0247,Gaming Mouse 247,Gaming,938.11,623.95,133,4.5
P0248,Gaming Keyboard 248,Gaming,10416.21,6058.13,117,4.5
P0249,Gaming Keyboard 249,Gaming,9139.95,4732.76,107,3.9
P0250,Gaming Mouse 250,Gaming,3936.69,2134.57,403,4.4
P0251,Controller 251,Gaming,6616.17,4719.88,263,3.4
P0252,Controller 252,Gaming,3438.55,2511.34,339,4.3
P0253,Gaming Keyboard 253,Gaming,13563.91,6523.22,466,4.7
P0254,Gaming Mouse 254,Gaming,2136.82,1030.81,274,3.6
P0255,Gaming Mouse 255,Gaming,12608.9,6168.56,409,4.7
P0256,Gaming Mouse 256,Gaming,12631.69,8736.71,265,3.5
P0257,Gaming Keyboard 257,Gaming,5876.24,2734.23,230,4.2
P0258,Gaming Keyboard 258,Gaming,10272.2,6831.83,166,4.4
P0259,Gaming Mouse 259,Gaming,1555.81,787.69,52,3.9
P0260,Gaming Keyboard 260,Gaming,10792.82,5769.52,169,4.9
P0261,Controller 261,Gaming,3258.7,2075.25,288,3.3
P0262,Controller 262,Gaming,13010.34,9053.65,491,5.0
P0263,Controller 263,Gaming,1827.5,1125.71,298,3.8
P0264,Controller 264,Gaming,857.64,493.64,412,3.8
P0265,Gaming Mouse 265,Gaming,5463.36,3431.54,129,4.5
P0266,Gaming Keyboard 266,Gaming,2635.44,1947.1,174,3.9
P0267,Gaming Mouse 267,Gaming,6461.53,3123.52,316,3.1
P0268,Gaming Mouse 268,Gaming,3188.02,1528.93,106,4.4
P0269,Gaming Mouse 269,Gaming,14416.24,10538.86,157,4.6
P0270,Controller 270,Gaming,7182.28,3302.34,215,4.9
P0271,Gaming Keyboard 271,Gaming,9523.62,6860.59,186,3.1
P0272,Gaming Keyboard 272,Gaming,4780.43,3291.22,475,3.9
P0273,Controller 273,Gaming,5197.25,3003.04,239,5.0
P0274,Gaming Keyboard 274,Gaming,14110.7,10554.29,439,3.8
P0275,Controller 275,Gaming,1460.54,817.4,484,3.3
P0276,Controller 276,Gaming,11743.09,8523.05,179,4.2
P0277,Gaming Keyboard 277,Gaming,3469.93,2496.8,362,4.0
P0278,Controller 278,Gaming,5157.89,2721.72,273,3.6
P0279,Controller 279,Gaming,2429.91,1255.48,159,4.2
P0280,Gaming Mouse 280,Gaming,10100.08,6989.81,130,3.8
P0281,Controller 281,Gaming,4862.13,3074.51,227,3.4
P0282,Gaming Keyboard 282,Gaming,12770.84,7877.63,497,4.8
P0283,Controller 283,Gaming,3886.58,2818.2,432,3.6
P0284,Gaming Keyboard 284,Gaming,4108.97,2227.88,321,4.6
P0285,Camera 285,Camera,10356.58,5846.29,411,3.8
P0286,Memory Card 286,Camera,14695.15,10903.48,228,3.3
P0287,Camera 287,Camera,12383.37,7845.89,226,4.3
P0288,Memory Card 288,Camera,7129.62,3292.21,302,3.5
P0289,Camera 289,Camera,14836.94,10725.09,467,3.7
P0290,Camera 290,Camera,14358.13,6919.57,449,3.8
P0291,Camera 291,Camera,13722.99,6418.34,43,3.3
P0292,Memory Card 292,Camera,9094.25,4960.5,478,5.0
P0293,Camera Bag 293,Camera,3585.3,2376.74,106,4.7
P0294,Camera 294,Camera,10406.48,7044.3,499,3.2
P0295,Camera Bag 295,Camera,7346.74,5454.6,458,4.4
P0296,Memory Card 296,Camera,2472.34,1690.74,203,3.5
P0297,Camera Bag 297,Camera,7145.79,3260.51,333,3.0
P0298,Camera Bag 298,Camera,14600.51,9260.22,174,4.2
P0299,Memory Card 299,Camera,9666.58,5238.89,397,3.1
P0300,Memory Card 300,Camera,8366.47,4125.31,453,4.9
P0301,Memory Card 301,Camera,7755.41,5523.49,342,3.9
P0302,Memory Card 302,Camera,13240.74,7777.8,53,3.4
P0303,Camera Bag 303,Camera,10017.78,5295.3,401,3.5
P0304,Camera Bag 304,Camera,7668.87,4293.8,73,4.5
P0305,Memory Card 305,Camera,611.45,414.08,211,4.5
P0306,Camera 306,Camera,7898.35,5622.49,74,4.2
P0307,Camera 307,Camera,6257.85,3610.97,33,4.1
P0308,Memory Card 308,Camera,12856.77,7941.71,81,4.9
P0309,Memory Card 309,Camera,12796.14,6537.51,418,4.1
P0310,Camera Bag 310,Camera,9949.9,5077.25,195,3.8
P0311,Camera Bag 311,Camera,12317.92,9013.96,453,4.5
P0312,Memory Card 312,Camera,8429.68,6052.69,32,3.7
P0313,Camera 313,Camera,14925.01,8758.2,454,3.7
P0314,Camera Bag 314,Camera,2129.72,1364.66,163,4.5
P0315,Memory Card 315,Camera,12124.42,6779.31,48,3.3
P0316,Memory Card 316,Camera,14655.42,9929.96,285,3.4
P0317,Camera 317,Camera,1157.72,767.52,187,3.5
P0318,Memory Card 318,Camera,1542.31,1044.82,182,4.9
P0319,Memory Card 319,Camera,12107.56,8745.13,356,3.7
P0320,Camera 320,Camera,13096.1,7420.97,445,3.6
P0321,Memory Card 321,Camera,3418.66,2069.17,196,4.2
P0322,Camera 322,Camera,13165.67,7321.42,486,3.2
P0323,Camera 323,Camera,1592.33,899.59,368,3.3
P0324,Camera 324,Camera,5544.43,2601.09,334,3.1
P0325,Camera Bag 325,Camera,12561.68,9217.96,295,4.1
P0326,Memory Card 326,Camera,6863.0,4123.43,90,4.7
P0327,Camera Bag 327,Camera,6579.47,4874.07,443,3.1
P0328,Camera 328,Camera,14323.21,7076.28,318,4.0
P0329,Memory Card 329,Camera,2073.62,1495.71,499,3.1
P0330,Memory Card 330,Camera,5936.43,3776.79,205,4.1
P0331,Camera 331,Camera,4457.57,2602.31,148,3.1
P0332,Camera Bag 332,Camera,11932.02,8552.72,35,3.8
P0333,Camera Bag 333,Camera,4080.04,2863.27,441,3.6
P0334,Camera 334,Camera,7215.92,3848.95,10,3.7
P0335,Camera 335,Camera,6510.15,4176.61,475,4.6
P0336,Camera Bag 336,Camera,13103.48,9511.02,30,4.4
P0337,Camera Bag 337,Camera,3921.06,1960.26,417,4.2
P0338,Camera Bag 338,Camera,10828.56,6289.24,242,3.3
P0339,Camera 339,Camera,5576.49,4098.69,319,4.6
P0340,Memory Card 340,Camera,3641.95,1863.77,110,3.3
P0341,Memory Card 341,Camera,2687.92,1763.79,108,3.9
P0342,Memory Card 342,Camera,2344.99,1347.8,441,3.5
P0343,Camera 343,Camera,6158.1,3442.73,415,4.8
P0344,Camera Bag 344,Camera,9570.92,6632.92,271,4.4
P0345,Memory Card 345,Camera,11603.53,8315.87,263,3.8
P0346,Camera 346,Camera,9941.8,5644.17,375,3.2
P0347,Memory Card 347,Camera,5626.11,2741.16,76,4.0
P0348,Camera Bag 348,Camera,622.27,441.29,215,3.0
P0349,Memory Card 349,Camera,6798.37,3641.22,73,4.6
P0350,Camera Bag 350,Camera,14902.22,7829.07,67,3.8
P0351,Camera 351,Camera,8861.4,5406.6,335,4.1
P0352,Memory Card 352,Camera,12509.5,7147.68,88,4.1
P0353,Memory Card 353,Camera,8546.25,5877.93,181,3.1
P0354,Memory Card 354,Camera,5078.81,2475.08,319,3.7
P0355,Camera Bag 355,Camera,9059.5,5091.42,191,4.4
P0356,Jeans 356,Fashion,8185.61,5475.39,278,3.9
P0357,Jeans 357,Fashion,8850.66,6556.22,55,4.1
P0358,T-Shirt 358,Fashion,7242.58,4944.14,38,4.5
P0359,T-Shirt 359,Fashion,6979.7,4520.97,230,4.7
P0360,Shoes 360,Fashion,6756.66,4377.75,481,4.6
P0361,T-Shirt 361,Fashion,14362.96,7797.36,388,4.6
P0362,Shoes 362,Fashion,1986.12,938.63,195,4.7
P0363,T-Shirt 363,Fashion,1412.03,721.28,296,3.7
P0364,Jeans 364,Fashion,2341.04,1576.7,227,3.9
P0365,Jeans 365,Fashion,3174.87,2369.86,44,4.6
P0366,T-Shirt 366,Fashion,11939.21,6982.6,418,3.6
P0367,T-Shirt 367,Fashion,10557.73,5345.38,103,4.7
P0368,Jeans 368,Fashion,8665.53,4156.42,408,4.1
P0369,Shoes 369,Fashion,2743.52,1544.59,319,3.2
P0370,Shoes 370,Fashion,6111.36,2870.23,126,3.5
P0371,Shoes 371,Fashion,1929.51,1359.27,375,4.9
P0372,Shoes 372,Fashion,1124.37,538.98,333,3.9
P0373,Jeans 373,Fashion,10840.66,7256.63,367,4.0
P0374,Shoes 374,Fashion,12973.53,9048.15,456,4.0
P0375,Jeans 375,Fashion,3970.43,2449.4,27,4.6
P0376,Jeans 376,Fashion,6800.08,3375.26,474,4.5
P0377,Jeans 377,Fashion,6444.85,3842.74,244,3.9
P0378,T-Shirt 378,Fashion,14101.75,6823.79,470,4.2
P0379,Shoes 379,Fashion,3739.47,2136.26,368,4.4
P0380,Jeans 380,Fashion,6734.12,3550.28,291,4.4
P0381,T-Shirt 381,Fashion,12405.15,9050.55,138,3.8
P0382,Jeans 382,Fashion,3585.29,1904.77,116,4.1
P0383,T-Shirt 383,Fashion,7185.49,5344.33,185,4.5
P0384,Jeans 384,Fashion,7741.54,4411.9,227,3.6
P0385,Shoes 385,Fashion,5101.63,3720.35,200,4.0
P0386,Jeans 386,Fashion,4078.41,1857.42,351,3.1
P0387,T-Shirt 387,Fashion,4953.62,2872.43,154,5.0
P0388,T-Shirt 388,Fashion,8747.31,4807.54,136,3.7
P0389,Shoes 389,Fashion,3170.72,1484.44,157,3.8
P0390,Jeans 390,Fashion,13069.36,7750.47,424,3.9
P0391,Jeans 391,Fashion,10049.69,5020.67,94,4.6
P0392,Shoes 392,Fashion,5673.94,2875.4,161,4.9
P0393,Jeans 393,Fashion,10190.38,6597.53,79,3.0
P0394,T-Shirt 394,Fashion,2036.62,1326.42,66,3.4
P0395,Jeans 395,Fashion,11842.54,6700.69,453,4.3
P0396,Shoes 396,Fashion,7290.87,3338.85,463,4.4
P0397,T-Shirt 397,Fashion,3757.9,1941.73,179,3.4
P0398,Shoes 398,Fashion,6631.13,4032.76,406,4.8
P0399,T-Shirt 399,Fashion,3471.06,2045.47,212,4.8
P0400,Shoes 400,Fashion,13000.32,9692.15,259,3.2
P0401,Shoes 401,Fashion,4481.56,2566.93,307,3.3
P0402,Jeans 402,Fashion,11036.67,7132.7,229,4.8
P0403,Jeans 403,Fashion,2464.96,1458.65,461,3.1
P0404,T-Shirt 404,Fashion,2576.21,1322.57,497,4.4
P0405,Shoes 405,Fashion,12379.99,7879.78,67,4.3
P0406,T-Shirt 406,Fashion,13137.08,7159.95,416,3.3
P0407,Shoes 407,Fashion,10039.22,7285.72,305,3.6
P0408,Shoes 408,Fashion,10518.55,5093.12,99,4.3
P0409,Shoes 409,Fashion,11595.7,5361.38,139,4.3
P0410,Shoes 410,Fashion,10773.53,7618.47,119,3.0
P0411,Jeans 411,Fashion,14306.95,10422.9,112,4.4
P0412,Shoes 412,Fashion,11005.65,6248.59,258,3.2
P0413,Shoes 413,Fashion,7130.92,4903.75,422,3.2
P0414,Jeans 414,Fashion,5419.91,2646.88,346,4.6
P0415,Shoes 415,Fashion,1864.29,1038.33,400,3.1
P0416,Shoes 416,Fashion,13326.83,9680.81,58,4.5
P0417,Jeans 417,Fashion,9097.21,5023.47,24,4.8
P0418,Shoes 418,Fashion,14326.16,10306.49,248,5.0
P0419,Shoes 419,Fashion,3550.69,2195.46,455,4.8
P0420,Shoes 420,Fashion,13474.4,7643.09,34,4.4
P0421,Shoes 421,Fashion,6147.13,4537.12,478,3.8
P0422,T-Shirt 422,Fashion,4732.36,2386.67,67,4.1
P0423,Shoes 423,Fashion,630.64,370.76,284,4.7
P0424,Shoes 424,Fashion,14342.46,9558.48,418,4.3
P0425,Jeans 425,Fashion,2819.15,1690.54,419,4.6
P0426,Jeans 426,Fashion,11750.47,5851.19,60,3.3
